id,estado,antiguedad,vivienda,plazo,edad,estadocivil,registros,trabajo,gastos,ingresos,activos,deuda,cantidad,precio
4248,malo,0,alquila,60,33,casado,no,tiempo parcial,77,166,0,0,850,984
750,bueno,0,padres,12,35,soltero,no,tiempo parcial,35,96,0,0,350,600
524,malo,4,padres,60,28,casado,no,tiempo parcial,45,135,0,0,1350,1471
2027,malo,1,alquila,60,21,soltero,no,tiempo parcial,41,60,0,0,850,930
748,malo,10,alquila,48,40,casado,no,tiempo parcial,66,60,0,0,500,820
137,bueno,4,propietario,60,29,casado,no,tiempo parcial,60,155,5000,2500,900,1110
1295,bueno,3,padres,36,21,soltero,no,tiempo parcial,35,49,0,0,750,850
4075,malo,2,propietario,60,29,casado,sí,tiempo parcial,35,71,6000,0,700,2700
4353,malo,0,padres,60,25,soltero,no,tiempo parcial,35,82,0,0,700,1715
943,malo,0,padres,36,21,soltero,no,tiempo parcial,45,161,2500,0,580,580
3555,bueno,15,propietario,24,41,casado,sí,tiempo parcial,45,180,6000,0,700,1888
3423,malo,1,padres,36,22,soltero,no,tiempo parcial,35,59,0,0,880,940
2389,malo,0,NA,48,23,casado,no,tiempo parcial,45,26,NA,NA,1350,1562
375,malo,7,propietario,60,32,casado,no,tiempo parcial,75,156,3500,0,1300,1553
3546,bueno,0,propietario,24,20,soltero,no,tiempo parcial,45,188,2000,1500,300,315
2406,bueno,4,propietario,24,32,casado,no,tiempo parcial,45,158,5500,0,500,1839
1160,bueno,0,padres,36,19,soltero,no,tiempo parcial,35,75,0,0,1450,1473
1879,bueno,1,alquila,48,27,soltero,no,tiempo parcial,45,101,4000,0,1600,2075
4350,bueno,1,alquila,60,32,casado,no,tiempo parcial,75,154,0,0,1500,1517
2227,malo,1,padres,12,26,soltero,no,tiempo parcial,35,NA,0,0,190,693
4430,malo,4,privado,36,38,casado,no,tiempo parcial,75,170,5000,1500,650,700
3226,malo,2,alquila,48,23,soltero,no,tiempo parcial,51,158,0,0,1300,1700
3048,malo,4,alquila,36,24,casado,no,tiempo parcial,55,100,0,0,650,725
3455,malo,1,privado,60,28,casado,no,tiempo parcial,60,174,6000,720,1650,1930
2301,malo,2,alquila,18,38,casado,no,tiempo parcial,90,148,0,0,300,400
2135,malo,1,privado,48,41,casado,no,tiempo parcial,75,80,4000,30,1100,1409
3122,bueno,0,padres,48,19,soltero,no,tiempo parcial,35,53,0,0,1250,1310
3068,malo,0,alquila,12,23,casado,no,tiempo parcial,43,80,0,0,200,1200
3506,bueno,14,propietario,48,32,casado,no,tiempo parcial,45,165,4000,112,1300,1346
4221,bueno,3,propietario,60,28,casado,no,tiempo parcial,35,143,5500,3000,1150,1292
2212,malo,1,padres,60,23,casado,no,tiempo parcial,45,83,0,0,1140,1461
2411,malo,5,padres,48,24,soltero,no,tiempo parcial,35,139,2000,0,1000,1492
3667,malo,1,padres,60,20,soltero,no,tiempo parcial,35,80,0,0,1300,1525
1906,malo,1,padres,60,27,soltero,no,tiempo parcial,35,82,8000,0,1100,1300
4449,malo,1,otra,48,30,casado,sí,tiempo parcial,75,77,0,0,1200,1300
811,malo,0,propietario,48,28,casado,no,tiempo parcial,60,155,4500,1641,800,1376
2247,bueno,1,otra,60,23,soltero,no,tiempo parcial,35,70,0,0,1050,1190
3861,malo,0,alquila,48,20,soltero,sí,tiempo parcial,56,105,0,0,1100,1289
858,malo,1,padres,36,23,soltero,no,tiempo parcial,35,110,0,0,650,710
1914,bueno,0,otra,18,22,soltero,no,tiempo parcial,35,150,0,0,175,475
3082,malo,0,propietario,60,41,casado,no,tiempo parcial,45,40,4500,80,800,825
3870,malo,0,propietario,36,31,casado,sí,tiempo parcial,45,120,3000,150,700,850
3056,bueno,0,propietario,60,42,casado,sí,tiempo parcial,35,90,3000,1500,1200,1438
273,bueno,3,propietario,60,25,casado,no,tiempo parcial,60,120,3500,200,1000,1342
3194,malo,2,propietario,60,33,casado,no,tiempo parcial,45,77,2500,0,1000,1197
2490,malo,0,otra,60,32,soltero,no,tiempo parcial,35,NA,0,0,600,1690
3380,malo,0,propietario,60,27,casado,no,tiempo parcial,35,74,5000,2500,1550,1555
213,malo,4,otra,36,19,soltero,no,tiempo parcial,35,63,0,0,1000,1035
2211,malo,0,alquila,36,36,casado,no,tiempo parcial,82,70,3500,0,500,1350
32,malo,0,propietario,36,23,soltero,no,tiempo parcial,45,122,2500,0,400,400
3697,malo,18,alquila,24,35,casado,no,tiempo parcial,96,63,0,0,600,888
1247,malo,2,padres,60,25,divorciado,no,tiempo parcial,35,90,0,0,900,1111
949,bueno,0,padres,60,29,separado,no,tiempo parcial,35,140,0,0,763,913
104,malo,0,alquila,36,29,casado,no,tiempo parcial,78,180,0,0,650,650
2835,malo,1,alquila,60,30,casado,no,tiempo parcial,84,92,0,0,750,900
3904,bueno,1,alquila,48,24,casado,no,tiempo parcial,41,56,0,0,1500,1935
3446,malo,2,padres,36,19,soltero,no,tiempo parcial,35,45,0,0,600,790
3094,bueno,1,otra,24,46,casado,no,tiempo parcial,45,70,2500,0,390,590
3027,malo,0,propietario,48,49,casado,no,tiempo parcial,35,136,5000,1600,900,1178
3492,malo,2,otra,60,32,casado,no,tiempo parcial,45,150,0,0,1450,1850
3886,bueno,2,alquila,36,44,casado,no,tiempo parcial,57,123,5000,0,900,975
1439,malo,0,alquila,36,26,casado,no,tiempo parcial,80,195,0,0,600,785
3192,malo,0,privado,60,34,casado,no,tiempo parcial,35,107,3000,2500,1000,1189
1998,malo,0,alquila,48,21,soltero,no,tiempo parcial,50,148,0,0,1500,1575
2253,malo,0,alquila,24,30,casado,no,tiempo parcial,83,80,0,0,500,650
2238,bueno,3,alquila,36,23,casado,no,tiempo parcial,53,79,0,0,600,650
4277,malo,1,privado,60,41,casado,sí,tiempo parcial,45,93,3000,0,1900,2230
2216,bueno,1,alquila,60,35,casado,no,tiempo parcial,83,76,10000,0,1000,1350
575,malo,0,propietario,60,27,casado,no,tiempo parcial,45,113,3000,1500,1200,1532
1462,malo,5,alquila,48,30,separado,sí,tiempo parcial,39,41,0,0,1300,1600
10,malo,0,padres,48,41,casado,no,tiempo parcial,90,80,0,0,1200,1468
4284,malo,0,padres,48,21,soltero,no,tiempo parcial,35,70,0,0,1200,1600
3554,malo,0,privado,6,22,soltero,sí,tiempo parcial,35,115,1000,0,250,800
3011,bueno,1,padres,18,25,soltero,no,tiempo parcial,35,47,0,0,400,1367
3373,malo,2,propietario,60,32,casado,no,tiempo parcial,60,75,5500,1500,1400,1732
2021,malo,0,propietario,60,36,casado,no,tiempo parcial,90,113,4000,198,400,790
616,bueno,1,padres,36,19,soltero,no,tiempo parcial,35,43,0,0,425,500
127,malo,0,padres,60,23,soltero,no,tiempo parcial,35,95,0,0,1400,1478
2562,bueno,6,propietario,60,33,casado,no,tiempo parcial,60,140,6000,0,1150,1715
3415,malo,2,privado,60,38,casado,no,tiempo parcial,60,150,4000,0,1000,1270
3613,malo,0,otra,30,21,soltero,no,tiempo parcial,35,162,0,0,400,400
1380,malo,1,propietario,36,27,casado,no,tiempo parcial,45,127,4500,3000,600,745
3367,malo,0,ignorar,36,38,casado,no,tiempo parcial,60,95,0,0,1000,1647
4193,malo,0,otra,48,32,soltero,no,tiempo parcial,35,182,0,0,800,907
2162,bueno,3,propietario,48,28,casado,no,tiempo parcial,75,61,4000,50,1250,1484
3909,malo,0,padres,36,22,soltero,no,tiempo parcial,35,103,4500,0,1050,1485
1882,malo,0,otra,36,26,soltero,sí,tiempo parcial,35,NA,0,0,550,600
2167,bueno,8,alquila,60,34,casado,no,tiempo parcial,81,60,0,0,600,1400
753,bueno,4,propietario,60,24,casado,no,tiempo parcial,45,67,4000,2000,1000,1164
2731,malo,1,otra,48,23,soltero,no,tiempo parcial,35,147,0,0,1000,1843
1458,bueno,0,padres,48,24,soltero,no,tiempo parcial,45,76,0,0,1640,1649
1814,bueno,3,propietario,60,38,casado,no,tiempo parcial,75,90,3000,0,930,1135
638,malo,2,privado,48,25,casado,no,tiempo parcial,45,90,3000,2000,800,1567
2497,malo,1,alquila,24,24,soltero,no,tiempo parcial,42,65,0,0,750,1192
2065,bueno,4,alquila,60,34,casado,no,tiempo parcial,84,85,0,0,800,1293
1371,malo,0,ignorar,36,45,casado,no,tiempo parcial,75,87,1500,0,300,480
317,bueno,0,propietario,36,24,soltero,no,tiempo parcial,45,97,8000,0,600,1542
2948,malo,0,alquila,48,49,casado,no,tiempo parcial,52,72,0,0,500,950
1079,malo,0,alquila,48,28,casado,no,tiempo parcial,66,64,0,0,1100,1365
1594,malo,0,alquila,36,24,soltero,no,tiempo parcial,44,85,0,0,375,575
3235,bueno,1,padres,48,23,soltero,no,tiempo parcial,35,103,0,0,820,1323
4293,malo,1,alquila,60,26,casado,no,tiempo parcial,48,127,0,0,1250,1655
815,malo,3,padres,60,25,soltero,no,tiempo parcial,35,225,0,0,1130,1130
732,malo,5,padres,36,27,soltero,no,tiempo parcial,35,60,0,0,500,1569
3375,malo,1,propietario,24,49,casado,sí,tiempo parcial,35,90,7000,0,265,300
2900,malo,0,alquila,36,36,casado,no,tiempo parcial,84,240,0,0,1050,1342
129,bueno,0,padres,24,22,soltero,no,tiempo parcial,35,85,0,0,650,1056
3351,malo,1,padres,36,23,soltero,no,tiempo parcial,35,70,2000,0,1050,1410
1767,bueno,2,padres,36,21,soltero,no,tiempo parcial,35,105,0,0,300,495
3954,malo,3,padres,60,34,soltero,sí,tiempo parcial,35,80,0,0,1100,1265
1671,bueno,0,propietario,24,28,casado,no,tiempo parcial,45,219,6000,0,600,943
3580,malo,1,alquila,36,37,casado,no,tiempo parcial,75,145,0,0,1100,1871
1572,malo,0,alquila,48,30,casado,no,tiempo parcial,60,150,0,0,1300,1582
1517,bueno,1,propietario,36,36,casado,no,tiempo parcial,45,80,500,0,950,1566
3973,bueno,0,padres,60,22,soltero,no,tiempo parcial,35,72,0,0,1100,1131
3604,malo,0,propietario,60,33,separado,no,tiempo parcial,35,78,0,0,1030,1197
2780,malo,0,otra,60,23,soltero,no,tiempo parcial,35,NA,0,0,1000,1084
1353,bueno,1,padres,24,22,soltero,no,tiempo parcial,35,80,0,0,150,400
2531,malo,0,privado,60,43,casado,no,tiempo parcial,90,82,4000,0,600,790
3267,malo,0,propietario,60,47,casado,sí,tiempo parcial,60,50,15000,0,1300,1841
4010,malo,1,alquila,60,36,casado,sí,tiempo parcial,84,90,0,0,1100,1184
1386,malo,1,alquila,48,29,casado,no,tiempo parcial,77,170,0,0,1300,2262
1185,bueno,4,propietario,60,30,casado,no,tiempo parcial,45,150,4000,2800,1400,1763
4242,bueno,0,alquila,36,34,soltero,no,tiempo parcial,43,78,0,0,1200,1550
4046,malo,0,padres,60,25,soltero,no,tiempo parcial,35,35,0,0,1150,1351
1324,bueno,1,alquila,60,38,casado,no,tiempo parcial,58,130,0,0,1450,1593
1195,bueno,0,otra,36,50,casado,no,tiempo parcial,60,162,20000,0,1000,1615
216,malo,1,privado,60,44,casado,no,tiempo parcial,45,115,2000,0,750,953
2510,bueno,0,padres,24,22,soltero,no,tiempo parcial,35,80,0,0,650,1356
3682,malo,0,alquila,60,33,casado,no,tiempo parcial,54,85,0,0,1300,1797
1959,malo,3,alquila,60,31,casado,sí,tiempo parcial,58,130,0,0,1500,1537
3597,malo,0,alquila,36,33,casado,sí,tiempo parcial,76,155,0,0,440,440
2420,bueno,3,alquila,36,20,soltero,no,tiempo parcial,58,225,0,0,1500,2050
3044,malo,1,padres,36,26,soltero,sí,tiempo parcial,35,335,0,0,600,700
2968,bueno,1,padres,48,21,soltero,no,tiempo parcial,35,164,0,0,1400,1503
946,bueno,4,otra,24,40,casado,no,tiempo parcial,60,66,0,0,1300,1300
3186,bueno,0,propietario,48,24,casado,no,tiempo parcial,35,150,5000,3130,1000,1404
4013,malo,1,alquila,60,31,divorciado,sí,tiempo parcial,39,42,0,0,1200,1265
580,malo,1,propietario,60,42,casado,no,tiempo parcial,120,143,5500,2000,1160,1285
2739,bueno,1,padres,18,23,soltero,no,tiempo parcial,35,50,0,0,250,1139
2974,bueno,5,padres,24,25,soltero,no,tiempo parcial,35,111,0,0,750,1125
2848,bueno,0,padres,36,22,casado,no,tiempo parcial,35,72,0,0,650,950
2048,bueno,0,propietario,60,22,soltero,no,tiempo parcial,45,150,4000,0,1550,1657
427,malo,0,padres,60,24,soltero,sí,tiempo parcial,35,86,0,0,1400,1707
1453,bueno,0,alquila,18,34,casado,sí,tiempo parcial,98,81,0,0,300,450
1467,bueno,2,padres,24,30,casado,no,tiempo parcial,45,57,0,0,500,974
3528,malo,29,propietario,60,52,casado,no,tiempo parcial,45,175,2500,0,1186,1286
4201,malo,2,otra,60,45,casado,sí,tiempo parcial,60,90,0,0,1000,1457
19,malo,0,ignorar,48,36,casado,no,tiempo parcial,45,130,750,0,1100,1511
3656,malo,0,propietario,60,42,casado,sí,tiempo parcial,35,130,7000,3000,950,950
834,malo,1,padres,36,23,soltero,no,tiempo parcial,35,75,0,0,350,425
3503,bueno,0,otra,60,30,soltero,no,tiempo parcial,35,61,0,0,500,1081
364,malo,0,propietario,36,34,casado,no,tiempo parcial,75,80,4500,300,600,1339
1480,malo,3,alquila,60,38,casado,sí,tiempo parcial,72,123,0,0,1030,1170
1483,malo,4,propietario,60,33,casado,no,tiempo parcial,90,82,3500,1000,1300,1795
4017,bueno,0,privado,60,42,casado,no,tiempo parcial,35,210,1500,0,1250,1518
4213,bueno,30,alquila,36,53,casado,no,tiempo parcial,70,95,0,0,800,800
4164,bueno,1,otra,24,20,soltero,no,tiempo parcial,45,48,3000,0,700,980
4093,malo,0,padres,60,18,soltero,no,tiempo parcial,35,45,0,0,900,1001
3270,malo,2,padres,60,35,casado,sí,tiempo parcial,75,130,0,0,1450,1480
1753,malo,0,otra,42,23,soltero,no,tiempo parcial,35,NA,0,0,1100,1135
2186,bueno,3,padres,60,31,soltero,no,tiempo parcial,35,NA,2000,0,1200,1661
3251,malo,0,alquila,36,23,casado,no,tiempo parcial,44,88,0,0,450,495
1477,malo,1,padres,60,24,soltero,no,tiempo parcial,35,115,0,0,1400,1420
2316,malo,1,alquila,48,41,casado,no,tiempo parcial,89,136,0,0,1070,1378
2550,bueno,0,alquila,36,42,soltero,sí,tiempo parcial,48,129,0,0,525,525
1266,malo,4,otra,60,25,soltero,no,tiempo parcial,35,92,0,0,1400,1661
2434,malo,1,padres,48,21,soltero,no,tiempo parcial,35,60,0,0,1350,1601
1409,bueno,0,propietario,48,43,casado,no,tiempo parcial,75,71,14000,0,1100,1660
2938,bueno,3,propietario,60,28,casado,sí,tiempo parcial,60,122,5000,1000,800,1484
783,malo,1,propietario,60,33,casado,no,tiempo parcial,75,76,2500,550,800,1105
4115,bueno,1,padres,36,21,soltero,no,tiempo parcial,35,92,2000,0,700,1162
1139,malo,0,padres,24,21,soltero,sí,tiempo parcial,35,126,0,0,1150,1586
881,malo,1,otra,48,26,soltero,no,tiempo parcial,35,116,2000,0,1100,1123
3285,malo,1,propietario,48,24,casado,no,tiempo parcial,45,59,3000,1600,500,500
3816,bueno,1,alquila,48,37,casado,sí,tiempo parcial,72,116,6000,0,1400,1661
573,bueno,1,propietario,48,28,casado,no,tiempo parcial,45,123,4000,1978,1100,1556
3073,malo,0,padres,60,22,soltero,no,tiempo parcial,35,49,0,0,1250,1316
2634,malo,8,padres,36,27,soltero,no,tiempo parcial,35,53,0,0,225,350
3884,bueno,1,alquila,60,25,casado,no,tiempo parcial,42,73,0,0,1000,1050
3118,bueno,0,padres,48,20,soltero,no,tiempo parcial,35,215,15000,0,1100,1100
3034,malo,0,privado,60,39,casado,no,tiempo parcial,35,85,1500,0,1270,1405
4208,malo,0,alquila,48,25,casado,sí,tiempo parcial,49,139,0,0,1450,1701
1479,malo,1,alquila,36,25,casado,no,tiempo parcial,67,67,0,0,775,850
3562,bueno,1,privado,60,22,soltero,no,tiempo parcial,35,73,4500,4300,1000,1485
4334,malo,0,padres,36,28,soltero,no,tiempo parcial,35,67,3500,0,1500,1539
4228,malo,2,padres,60,35,casado,no,tiempo parcial,45,85,0,0,1000,1542
1630,bueno,20,propietario,60,43,casado,no,tiempo parcial,60,138,20000,0,1000,1312
3450,bueno,1,alquila,60,21,casado,no,tiempo parcial,45,100,17000,0,1050,1251
313,bueno,1,propietario,60,25,casado,no,tiempo parcial,60,330,9000,3500,1300,2500
3620,malo,0,ignorar,60,26,casado,no,tiempo parcial,45,150,5000,0,1300,1429
3431,bueno,1,padres,24,21,soltero,no,tiempo parcial,45,114,2500,500,500,1154
3766,malo,0,alquila,48,23,soltero,no,tiempo parcial,42,72,0,0,700,875
781,bueno,2,propietario,60,43,casado,no,tiempo parcial,45,NA,16000,0,1000,1490
277,bueno,1,otra,48,28,soltero,no,tiempo parcial,35,120,0,0,900,1114
798,malo,0,padres,60,34,soltero,no,tiempo parcial,35,70,0,0,900,1005
2498,malo,2,padres,60,23,soltero,sí,tiempo parcial,35,75,0,0,1100,1139
2763,malo,1,padres,36,24,soltero,sí,tiempo parcial,35,120,0,0,250,750
624,malo,0,padres,60,38,casado,no,tiempo parcial,90,86,5000,0,1600,1682
474,bueno,0,otra,60,26,casado,no,tiempo parcial,45,68,0,0,1200,1315
4200,bueno,5,alquila,36,33,casado,no,tiempo parcial,52,73,0,0,400,750
696,malo,2,propietario,36,37,casado,no,tiempo parcial,105,300,5000,0,1000,1570
384,malo,1,padres,48,18,soltero,no,tiempo parcial,35,81,0,0,1150,1314
1750,malo,0,propietario,60,34,casado,no,tiempo parcial,75,65,5000,0,1000,1142
3311,bueno,0,padres,60,24,soltero,no,tiempo parcial,35,103,8000,0,1070,1405
3777,malo,7,padres,60,33,soltero,no,tiempo parcial,35,70,0,0,1300,1438
2221,malo,2,propietario,48,43,casado,no,tiempo parcial,60,95,4000,1300,700,975
4240,malo,7,privado,48,30,casado,no,tiempo parcial,60,112,1500,0,900,1165
