id,trabajo,gastos,ingresos,activos
1593,fijo,35,60,0
2168,fijo,60,150,2000
724,tiempo parcial,45,126,0
2794,tiempo parcial,35,70,0
1611,fijo,55,196,0
3519,fijo,45,162,0
2816,fijo,41,57,12000
2507,tiempo parcial,35,60,2800
2670,fijo,35,160,6000
3081,fijo,48,134,0
1125,freelance,35,NA,5000
3959,fijo,45,190,13000
1806,freelance,69,244,0
447,freelance,45,100,0
947,fijo,42,73,0
4048,tiempo parcial,106,160,0
1525,fijo,60,103,0
262,fijo,93,177,0
2683,freelance,35,NA,0
1723,freelance,60,500,10000
266,freelance,75,333,5000
2076,freelance,60,NA,0
2884,freelance,35,NA,0
559,otros,45,297,8000
1142,tiempo parcial,35,181,4500
3673,fijo,60,200,10000
1239,fijo,75,168,4000
4147,fijo,45,120,3000
3983,fijo,74,140,0
1316,fijo,135,180,13500
2633,freelance,75,270,0
3117,fijo,45,63,5000
1332,fijo,45,130,7000
607,fijo,60,300,0
1015,tiempo parcial,90,113,3500
2202,freelance,82,219,0
3529,freelance,35,60,2500
3308,freelance,35,180,5000
3869,fijo,35,130,8000
3968,otros,45,170,6500
3143,freelance,45,189,0
105,fijo,35,140,0
283,fijo,35,189,9000
368,fijo,113,532,0
3176,fijo,45,85,3500
64,fijo,75,190,3000
1802,otros,35,NA,300000
3609,fijo,35,140,6000
3731,freelance,35,95,25000
3772,freelance,45,325,12000
1845,tiempo parcial,41,58,NA
1605,freelance,75,125,11000
1402,freelance,60,250,9000
2424,fijo,60,250,3000
3084,tiempo parcial,35,90,0
3242,freelance,35,71,5000
2192,freelance,75,110,9500
4326,tiempo parcial,35,70,0
880,freelance,90,NA,0
1444,fijo,75,204,5000
3107,fijo,35,110,12000
2094,fijo,86,113,0
1588,freelance,60,205,13600
3753,freelance,60,150,5500
2449,otros,75,60,NA
500,fijo,35,55,7500
2390,freelance,75,491,90000
1653,fijo,47,124,0
1129,freelance,75,150,NA
3579,fijo,35,141,5500
1003,tiempo parcial,75,100,7000
2553,fijo,35,127,0
2515,fijo,46,108,0
2064,freelance,85,100,0
2965,fijo,60,90,4000
4429,fijo,45,260,5000
2720,freelance,75,NA,NA
1565,fijo,60,186,8000
3318,fijo,58,125,0
2405,fijo,49,140,0
3574,fijo,35,57,0
2952,fijo,35,135,3500
3622,fijo,45,108,4500
1983,otros,35,46,0
2956,freelance,35,110,6000
3047,fijo,75,260,24000
3978,tiempo parcial,72,118,0
2892,fijo,45,150,10500
3670,fijo,45,122,9000
4251,fijo,45,87,10000
1870,freelance,60,NA,10000
347,freelance,90,20,0
2850,tiempo parcial,35,110,0
3614,fijo,35,135,6000
2488,fijo,85,100,8000
2790,fijo,35,109,6000
3030,freelance,35,140,0
2344,fijo,75,47,3500
1831,otros,45,111,6000
2825,freelance,45,NA,15000
733,fijo,75,NA,0
3911,tiempo parcial,45,117,2000
4094,freelance,45,174,9000
2115,freelance,75,300,0
3921,fijo,60,134,4500
2007,freelance,45,160,15000
46,tiempo parcial,35,120,0
511,tiempo parcial,60,110,11500
1551,fijo,81,207,20000
576,freelance,45,167,4000
102,fijo,73,130,0
4122,fijo,60,125,59000
3963,fijo,35,55,3000
1592,freelance,90,113,3000
1703,fijo,45,128,0
803,fijo,75,98,0
3907,freelance,60,310,7000
553,freelance,75,186,8000
707,fijo,60,115,0
3531,fijo,35,110,5500
3895,fijo,55,100,0
1509,freelance,75,NA,10000
141,fijo,47,120,0
2757,fijo,45,160,3500
2061,fijo,60,112,3000
149,freelance,35,90,0
4084,fijo,60,155,4000
236,fijo,45,110,4000
3576,fijo,65,200,0
4222,freelance,35,NA,0
4163,otros,35,54,13000
2044,fijo,60,177,3000
3837,fijo,55,100,4000
2615,otros,45,35,6000
2705,fijo,55,100,0
1030,fijo,75,80,4500
1268,fijo,45,231,13000
901,fijo,51,60,0
860,fijo,75,140,6000
3069,freelance,35,NA,17000
4387,tiempo parcial,35,71,0
3894,fijo,35,112,6000
1412,freelance,75,200,10000
3425,fijo,45,65,3500
2736,tiempo parcial,35,105,3000
3927,fijo,60,87,3500
3708,fijo,55,98,0
2205,freelance,75,NA,21500
2104,fijo,54,92,0
3341,fijo,45,75,7000
3854,otros,75,37,0
2738,fijo,35,125,0
925,fijo,45,135,0
3540,fijo,35,270,0
3794,fijo,105,NA,0
1220,fijo,60,185,6300
1500,fijo,35,120,0
2246,fijo,75,80,3000
4050,fijo,90,179,0
438,freelance,60,290,4300
3369,fijo,57,120,0
2374,fijo,105,168,14000
1270,tiempo parcial,35,160,3500
967,tiempo parcial,69,92,0
108,freelance,90,325,7000
4323,fijo,35,96,5000
3980,tiempo parcial,49,139,0
791,fijo,90,140,30000
2170,fijo,60,75,3000
1485,tiempo parcial,60,142,0
565,fijo,35,57,0
179,freelance,75,350,6500
3787,fijo,60,66,7000
3042,fijo,45,105,3000
3798,freelance,45,250,10000
3960,fijo,45,145,5000
2288,fijo,45,145,27000
3510,fijo,58,128,0
2087,fijo,45,179,3500
4267,fijo,105,130,2500
1017,fijo,35,NA,0
3399,tiempo parcial,35,45,0
407,freelance,75,148,2600
1499,fijo,45,199,6500
2998,fijo,41,64,0
3433,freelance,45,NA,0
2184,fijo,75,114,6000
1984,freelance,45,NA,11500
2083,freelance,60,NA,5000
3003,fijo,60,125,5000
2592,fijo,35,91,0
1363,fijo,60,130,3000
69,fijo,45,170,2500
593,freelance,75,110,0
833,fijo,75,166,0
350,fijo,45,125,4000
3007,fijo,35,134,0
477,fijo,58,225,0
475,fijo,75,400,5500
3913,otros,38,33,0
67,freelance,75,181,4000
702,fijo,40,51,0
3881,fijo,61,160,0
3578,fijo,75,225,0
2461,freelance,70,100,0
1581,freelance,70,100,2000
1589,fijo,60,118,6000
3809,fijo,35,60,0
1393,fijo,35,42,0
4274,fijo,35,150,5000
1757,fijo,83,233,3000
1681,fijo,60,117,6000
3572,fijo,60,293,8000
3040,freelance,45,NA,38000
2099,freelance,45,140,0
792,fijo,35,70,0
2367,tiempo parcial,45,185,3500
2209,fijo,53,77,0
2967,fijo,35,70,5000
4127,fijo,60,158,7000
3504,tiempo parcial,84,86,0
390,fijo,35,165,0
2925,fijo,60,131,3500
430,fijo,60,95,3000
2889,fijo,75,167,7000
3172,fijo,66,211,0
1213,fijo,35,100,0
655,freelance,39,42,0
3445,freelance,60,40,6000
2328,fijo,75,54,6000
934,freelance,45,100,0
1514,fijo,60,140,4000
591,fijo,90,214,8000
1612,fijo,45,152,4000
466,fijo,75,100,6000
1378,fijo,105,145,0
47,freelance,35,233,15900
1062,fijo,56,208,0
62,fijo,90,150,0
4220,tiempo parcial,35,67,5000
4149,fijo,35,197,0
651,fijo,35,85,0
945,fijo,75,65,2500
1997,fijo,75,174,8000
2627,freelance,45,126,5000
2803,fijo,35,60,0
3368,fijo,35,103,4500
3981,fijo,80,195,0
1027,tiempo parcial,60,144,3000
826,freelance,75,150,7000
2771,fijo,60,150,1000
3168,fijo,60,93,3500
4113,freelance,65,50,10000
2880,fijo,35,65,0
3598,fijo,35,185,0
3350,otros,55,195,0
1471,fijo,58,133,0
4060,freelance,60,100,5500
2431,otros,109,193,0
200,fijo,45,80,4000
3320,fijo,75,290,15000
3676,freelance,35,364,5000
2764,freelance,60,190,7000
4080,fijo,77,165,5000
1875,fijo,75,200,5000
2474,fijo,60,154,3000
2899,fijo,47,118,0
2381,fijo,60,195,15000
4224,fijo,60,76,5000
4363,fijo,35,230,10000
241,freelance,90,NA,0
1287,fijo,47,120,0
2248,otros,45,67,10000
2116,freelance,45,65,3500
4389,otros,45,95,10000
2781,freelance,60,NA,9000
223,fijo,60,177,6300
992,freelance,75,400,12000
3145,fijo,35,158,14000
467,fijo,49,136,0
4002,fijo,45,91,0
1074,otros,51,60,0
1395,fijo,91,161,5000
1863,freelance,60,125,10000
3838,tiempo parcial,75,115,2000
2231,fijo,75,110,2000
2793,fijo,35,410,0
3150,fijo,45,130,3000
1095,otros,45,25,2500
2941,fijo,60,169,2500
1977,fijo,120,NA,0
1971,fijo,91,160,0
1112,fijo,35,167,10000
2013,fijo,87,120,0
1354,fijo,42,70,0
1085,fijo,49,135,0
2920,freelance,50,152,0
2922,freelance,44,90,0
808,freelance,92,170,12000
3055,otros,35,135,2500
766,fijo,60,100,2250
2914,tiempo parcial,60,150,0
2270,freelance,75,62,5000
2306,otros,60,40,5000
3664,tiempo parcial,35,66,0
3166,fijo,35,125,3000
827,fijo,35,120,0
1230,freelance,45,478,9000
1903,tiempo parcial,60,NA,0
2175,fijo,77,165,0
807,freelance,135,959,2000
3912,tiempo parcial,47,120,0
2484,freelance,66,60,0
3156,freelance,90,296,0
1447,fijo,35,130,6000
2625,freelance,45,NA,6000
3142,tiempo parcial,35,65,0
494,fijo,60,190,18000
1642,fijo,67,67,0
318,freelance,45,NA,0
4209,fijo,84,240,0
1127,freelance,70,250,0
1559,freelance,90,150,4500
1692,freelance,60,40,12000
2809,fijo,47,115,0
2813,freelance,45,NA,4000
3417,fijo,60,225,6000
4207,freelance,46,111,0
937,fijo,35,87,1200
2354,fijo,75,152,5000
2766,fijo,35,111,3000
3046,fijo,60,147,0
749,fijo,35,91,0
465,fijo,75,146,5000
335,freelance,35,NA,0
1114,fijo,60,250,9200
1993,freelance,75,43,3000
3974,fijo,60,115,4000
2722,tiempo parcial,35,110,3000
1176,fijo,35,86,0
2009,fijo,105,150,25000
3346,tiempo parcial,35,90,0
3786,tiempo parcial,35,120,3000
2933,fijo,54,190,0
4435,fijo,45,199,0
233,fijo,56,214,0
60,fijo,90,715,5000
4026,fijo,35,80,3500
2106,fijo,90,142,6000
2893,fijo,45,NA,7000
1088,fijo,35,173,4800
3675,fijo,60,242,3500
1835,freelance,35,110,8000
2571,fijo,57,120,0
762,freelance,45,145,7000
875,fijo,75,207,0
2014,freelance,75,61,11000
117,freelance,35,200,10000
2415,fijo,90,108,1500
2146,fijo,45,171,15000
1573,freelance,74,140,2000
1524,fijo,94,192,0
3113,fijo,45,130,0
2698,fijo,45,70,3500
4039,fijo,52,71,0
155,tiempo parcial,35,205,0
2501,fijo,70,103,0
370,fijo,75,90,7000
2604,fijo,60,222,7000
1687,fijo,75,74,3500
1799,tiempo parcial,85,250,5000
2760,fijo,72,120,6000
2901,fijo,35,120,0
2426,fijo,42,73,0
1836,fijo,75,113,11000
3530,fijo,45,114,3500
2999,freelance,35,NA,5000
4175,fijo,60,80,3600
2663,fijo,35,125,9000
2018,fijo,75,118,3500
1518,freelance,60,85,6000
3929,fijo,35,61,4000
203,fijo,45,298,8000
4308,fijo,35,94,0
3422,fijo,90,170,14000
2496,fijo,55,104,0
2581,fijo,44,90,0
1242,fijo,35,63,0
991,fijo,75,104,0
1641,fijo,60,115,3000
2093,fijo,45,70,6000
373,fijo,90,159,3000
3184,freelance,75,39,10000
3465,fijo,35,108,18500
3140,fijo,45,194,3500
1731,fijo,80,196,0
684,fijo,90,245,4000
634,fijo,60,102,0
2512,fijo,60,77,4000
1981,fijo,35,155,4000
4058,fijo,75,211,7500
1406,fijo,75,96,4000
358,fijo,75,160,2200
3043,fijo,35,147,0
2932,fijo,60,198,4600
3832,fijo,35,62,0
1953,freelance,81,208,2000
1546,fijo,75,160,0
1156,fijo,35,90,0
1340,freelance,75,86,5000
5,fijo,46,107,0
1808,fijo,75,194,3000
1749,fijo,75,251,5500
391,freelance,75,428,32000
2951,freelance,60,NA,NA
2701,fijo,45,185,10000
3533,tiempo parcial,35,92,0
356,freelance,45,NA,0
2641,fijo,60,110,2000
4211,tiempo parcial,45,76,0
3269,freelance,45,250,10000
1180,fijo,35,82,0
3249,fijo,35,140,0
1715,fijo,35,90,0
1533,tiempo parcial,35,50,50000
688,tiempo parcial,87,115,2000
3690,fijo,35,220,12000
2629,fijo,45,87,3000
3668,fijo,35,90,3000
2201,fijo,68,77,4000
4118,fijo,60,242,0
2866,fijo,45,150,20000
2242,fijo,35,210,0
835,fijo,90,125,4700
432,fijo,45,114,10000
3851,otros,35,99,0
924,tiempo parcial,35,71,1500
3229,freelance,35,NA,NA
4162,fijo,60,142,5000
190,fijo,46,113,0
4390,fijo,48,125,0
879,otros,45,129,3000
1049,fijo,59,135,0
929,fijo,60,118,6500
2556,fijo,76,158,5000
2055,fijo,60,88,3500
2039,fijo,87,117,0
3393,otros,35,101,5000
3009,freelance,35,85,0
2282,fijo,35,135,0
3181,freelance,35,47,4000
1388,fijo,35,60,0
3214,fijo,45,100,0
1922,fijo,45,120,5000
865,tiempo parcial,60,NA,0
1720,fijo,45,178,2000
1411,fijo,60,190,0
2799,fijo,35,180,2500
3075,fijo,47,115,0
1193,fijo,60,107,4000
1693,freelance,45,250,80000
2580,tiempo parcial,35,66,0
1602,fijo,60,177,0
1494,fijo,45,113,14000
74,freelance,75,411,9000
3436,freelance,51,164,0
1657,fijo,60,115,4000
3569,fijo,60,135,4500
3584,freelance,35,142,12000
2222,tiempo parcial,39,40,0
4432,tiempo parcial,75,150,0
1337,fijo,45,115,4000
2237,fijo,60,100,NA
3207,fijo,42,70,0
1684,fijo,45,90,27000
4400,fijo,35,84,0
2322,freelance,60,68,5000
1531,fijo,75,105,5000
2169,fijo,90,144,3000
2594,fijo,45,62,5000
4366,fijo,45,58,0
3836,tiempo parcial,35,202,6000
4219,fijo,45,211,4500
3626,tiempo parcial,35,140,0
4307,fijo,35,80,3500
795,tiempo parcial,60,62,3000
3917,fijo,35,60,0
4217,fijo,35,85,0
3497,tiempo parcial,35,125,0
3654,fijo,45,120,5000
3629,fijo,35,110,0
2080,fijo,87,120,0
3372,tiempo parcial,72,116,0
4378,fijo,35,108,0
2331,freelance,180,NA,65000
3451,freelance,35,NA,3000
353,fijo,75,160,1000
557,freelance,64,35,2500
703,fijo,45,145,3500
3149,fijo,45,119,4000
4180,fijo,51,160,0
2137,freelance,75,160,2000
4210,fijo,35,50,0
2620,fijo,75,209,13500
670,fijo,75,254,14000
704,fijo,52,168,6000
2095,fijo,75,303,8000
2981,fijo,45,182,0
3231,fijo,35,207,10000
1385,fijo,75,88,6000
784,fijo,60,98,0
2614,freelance,60,NA,3500
188,fijo,60,105,0
2888,freelance,60,27,0
1098,fijo,35,78,0
926,fijo,35,47,0
1583,freelance,35,NA,0
3001,fijo,35,97,3216
1929,freelance,105,144,6000
2158,fijo,45,185,4000
4012,fijo,35,340,1200
610,freelance,90,90,4000
279,fijo,56,106,0
1501,fijo,45,234,0
2189,fijo,45,150,19000
1166,freelance,90,300,3000
515,freelance,52,170,0
2478,fijo,66,210,0
571,otros,45,158,2000
939,freelance,75,75,2500
4055,freelance,45,200,30000
3502,fijo,60,140,4000
2551,fijo,35,122,5000
1396,tiempo parcial,35,117,4000
932,freelance,77,171,0
2861,freelance,43,77,0
280,fijo,35,162,4000
2430,fijo,45,169,7000
4406,tiempo parcial,42,74,0
522,tiempo parcial,45,160,4000
990,tiempo parcial,60,145,3000
3484,fijo,45,124,1500
3585,fijo,45,161,6000
1214,fijo,75,345,6000
2409,fijo,85,250,0
2260,fijo,43,75,0
3653,freelance,60,107,20000
851,otros,35,52,4000
2719,fijo,75,130,0
3138,tiempo parcial,60,92,3500
3307,freelance,35,107,0
661,fijo,44,90,9000
3432,fijo,45,130,3500
642,tiempo parcial,69,90,0
2338,fijo,60,129,0
2539,tiempo parcial,45,240,4500
451,fijo,75,120,3000
2724,freelance,45,95,3000
4431,otros,45,172,8000
3521,fijo,60,55,9500
4128,fijo,35,91,3000
4148,fijo,60,200,7000
4156,tiempo parcial,35,81,2500
4444,fijo,35,242,9000
1672,fijo,60,102,3500
1205,fijo,80,200,0
758,otros,69,237,0
3208,freelance,45,125,0
1392,freelance,35,NA,80000
961,fijo,75,136,2500
2234,fijo,75,121,0
1310,fijo,42,70,0
3607,fijo,60,169,37000
30,NA,35,NA,NA
812,fijo,84,240,0
1887,freelance,91,160,7000
1294,fijo,45,101,0
3864,fijo,75,160,1500
496,freelance,35,NA,6000
4241,fijo,60,60,6000
623,freelance,75,150,0
2658,tiempo parcial,35,100,8000
1083,fijo,100,250,0
2233,freelance,60,NA,0
1052,fijo,35,53,0
1347,freelance,75,65,10500
54,freelance,75,200,2100
2126,fijo,45,120,6500
1880,fijo,45,150,10000
987,fijo,45,140,5500
2108,fijo,75,230,13000
3803,fijo,35,90,0
352,fijo,60,115,4000
3589,tiempo parcial,60,76,4500
3167,freelance,35,NA,1200
3440,fijo,60,211,NA
2417,fijo,45,56,0
1759,fijo,75,105,10000
3878,fijo,56,112,0
664,freelance,35,250,14000
1092,fijo,35,116,0
260,otros,88,130,0
613,freelance,75,300,11000
817,fijo,60,190,5000
3225,fijo,45,75,4000
4425,freelance,45,140,4300
1145,fijo,60,125,4000
3312,fijo,35,120,8000
402,freelance,60,100,4500
4044,fijo,35,71,0
87,fijo,47,120,0
3052,fijo,35,123,25000
398,freelance,45,200,3000
4360,freelance,60,82,20000
1398,fijo,35,75,0
3035,fijo,35,87,15000
2868,tiempo parcial,52,72,0
1920,freelance,35,NA,0
960,fijo,35,125,0
3159,fijo,35,205,0
3763,freelance,45,NA,4000
48,fijo,75,289,3500
310,otros,90,90,2000
3343,tiempo parcial,35,50,0
4321,tiempo parcial,60,95,2000
2026,fijo,75,100,8000
3199,fijo,35,158,6000
2815,freelance,35,NA,0
2804,tiempo parcial,45,182,4000
4186,otros,43,80,0
1907,freelance,90,NA,3000
4105,fijo,35,92,0
4315,tiempo parcial,35,55,0
3441,freelance,35,105,4000
1656,fijo,75,160,0
621,fijo,69,85,0
1434,fijo,45,120,5000
1858,freelance,60,100,18000
3541,fijo,45,82,3500
3815,fijo,35,90,5000
123,tiempo parcial,75,160,4000
1291,fijo,45,100,0
1941,fijo,105,60,0
4404,fijo,54,90,0
2565,otros,75,59,2500
377,tiempo parcial,35,130,5000
995,fijo,35,160,0
1878,fijo,45,102,NA
4103,otros,35,83,13000
816,freelance,45,100,4000
774,freelance,60,538,0
1567,tiempo parcial,45,80,4000
2308,fijo,75,145,6000
2691,fijo,35,109,0
2647,freelance,35,100,16000
778,fijo,45,156,9800
126,freelance,45,500,200000
2128,freelance,90,41,30000
2075,freelance,45,80,7500
18,freelance,65,200,5000
625,tiempo parcial,45,183,4000
342,freelance,173,230,5000
3378,fijo,55,95,0
745,fijo,35,67,1600
619,freelance,45,100,3500
1002,fijo,124,191,2000
2130,fijo,71,113,0
2603,fijo,45,167,8000
2289,fijo,45,100,0
452,freelance,45,198,2500
3396,fijo,35,47,8000
132,fijo,45,60,0
635,fijo,75,210,6000
3945,freelance,45,NA,10000
440,fijo,45,125,2500
14,fijo,75,170,3500
502,tiempo parcial,75,81,4000
3922,freelance,60,173,8000
2425,freelance,35,143,8000
3646,fijo,35,140,9000
3648,fijo,35,80,0
1405,fijo,45,152,7500
2576,freelance,45,464,10000
918,fijo,88,130,0
42,fijo,75,137,4000
1298,tiempo parcial,86,114,3500
2651,fijo,45,NA,0
2375,fijo,75,183,4000
863,fijo,45,130,9000
3338,freelance,60,NA,26000
1364,freelance,75,NA,17000
187,fijo,75,201,2500
3514,fijo,35,130,5000
2595,freelance,35,27,5000
3071,fijo,60,355,12000
2829,fijo,45,125,0
1218,fijo,75,76,15000
3544,fijo,60,205,8000
133,fijo,75,180,4000
4421,fijo,45,114,3000
2274,fijo,45,97,0
3898,fijo,45,375,5000
530,fijo,75,143,4000
327,fijo,75,140,3000
4380,fijo,45,208,10000
218,fijo,60,144,3000
1110,freelance,60,152,10000
158,freelance,35,NA,4000
3764,tiempo parcial,35,110,4500
1313,fijo,103,426,0
700,fijo,107,319,0
2821,freelance,90,82,4000
3387,fijo,75,83,3000
2329,fijo,56,114,0
287,freelance,75,500,14000
1886,freelance,88,129,0
1779,fijo,35,126,0
